art_daily_no_noise	artificialNoAnomaly/art_daily_no_noise.csv	artificialNoAnomaly: art daily no noise
art_daily_perfect_square_wave	artificialNoAnomaly/art_daily_perfect_square_wave.csv	artificialNoAnomaly: art daily perfect square wave
art_daily_small_noise	artificialNoAnomaly/art_daily_small_noise.csv	artificialNoAnomaly: art daily small noise
art_flatline	artificialNoAnomaly/art_flatline.csv	artificialNoAnomaly: art flatline
art_noisy	artificialNoAnomaly/art_noisy.csv	artificialNoAnomaly: art noisy
art_daily_flatmiddle	artificialWithAnomaly/art_daily_flatmiddle.csv	artificialWithAnomaly: art daily flatmiddle
art_daily_jumpsdown	artificialWithAnomaly/art_daily_jumpsdown.csv	artificialWithAnomaly: art daily jumpsdown
art_daily_jumpsup	artificialWithAnomaly/art_daily_jumpsup.csv	artificialWithAnomaly: art daily jumpsup
art_daily_nojump	artificialWithAnomaly/art_daily_nojump.csv	artificialWithAnomaly: art daily nojump
art_increase_spike_density	artificialWithAnomaly/art_increase_spike_density.csv	artificialWithAnomaly: art increase spike density
art_load_balancer_spikes	artificialWithAnomaly/art_load_balancer_spikes.csv	artificialWithAnomaly: art load balancer spikes
ambient_temperature_system_failure	realKnownCause/ambient_temperature_system_failure.csv	realKnownCause: ambient temperature system failure
cpu_utilization_asg_misconfiguration	realKnownCause/cpu_utilization_asg_misconfiguration.csv	realKnownCause: cpu utilization asg misconfiguration
ec2_request_latency_system_failure	realKnownCause/ec2_request_latency_system_failure.csv	realKnownCause: ec2 request latency system failure
machine_temperature_system_failure	realKnownCause/machine_temperature_system_failure.csv	realKnownCause: machine temperature system failure
nyc_taxi	realKnownCause/nyc_taxi.csv	realKnownCause: nyc taxi
rogue_agent_key_hold	realKnownCause/rogue_agent_key_hold.csv	realKnownCause: rogue agent key hold
rogue_agent_key_updown	realKnownCause/rogue_agent_key_updown.csv	realKnownCause: rogue agent key updown
speed_7578	realTraffic/speed_7578.csv	realTraffic: speed 7578
ec2_cpu_utilization_825cc2	realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv	realAWSCloudwatch: ec2 cpu utilization 825cc2
